name,num,id
Дан Балан,88.0,714.0
Володимир Паніотт,87.0,715.0
Володимир Панич,87.0,716.0
Юр Гус,87.0,717.0
Олекс Петр,87.0,718.0
Жаїр Болсонар,87.0,719.0
Блогерк,87.0,720.0
Олександр Прокудін,87.0,721.0
Роберт Сперанц,87.0,722.0
Анатол Полоск,87.0,723.0
Ольг Василевськ,87.0,724.0
Катерин Булавін,86.0,725.0
Мар Бойк,86.0,726.0
Володимир Соловй,86.0,727.0
Світлан,86.0,728.0
Тайсон Фюр,85.0,729.0
Михайл,85.0,730.0
Джер Райс,85.0,731.0
Серг Корол,85.0,732.0
Вад Омельченк,85.0,733.0
Гарр Поттер,85.0,734.0
Алл Ващенк,85.0,735.0
Президент Зеленськ,85.0,736.0
Серг Тарут,85.0,737.0
Юр Расюк,85.0,738.0
Пітер Дашак,85.0,739.0
Словянськ,84.0,740.0
Джордж Буш,84.0,741.0
Данил,84.0,742.0
Оксан Чайчук,84.0,743.0
Лед Гаг,84.0,744.0
Христин Горняк,84.0,745.0
Руслан Демчук,84.0,746.0
Мілош Земан,84.0,747.0
Ігор Гіркін,84.0,748.0
Марченк,84.0,749.0
Антон,84.0,750.0
Олен Шоптенк,84.0,751.0
Серг Палкін,84.0,752.0
Олег Ждан,83.0,753.0
Скотт Моррісон,83.0,754.0
Катерин Медушкін,83.0,755.0
Олен Кравец,83.0,756.0
Дмитр Кисилевськ,83.0,757.0
Ксен Собчак,83.0,758.0
Лопес,83.0,759.0
Март Костюк,83.0,760.0
Саїд Хатібзад,83.0,761.0
Микол Томенк,83.0,762.0
Юр Дудкін,82.0,763.0
Оксан,82.0,764.0
Іван Тертел,82.0,765.0
Васил Кирилич,82.0,766.0
Геннад Рябц,82.0,767.0
Михайл Заливак,82.0,768.0
Тарас Цимбалюк,82.0,769.0
Роман Родин,82.0,770.0
Юр Ганиченк,81.0,771.0
Михайл Саакашвіл,343.0,772.0
Макс Михайлюк,81.0,773.0
Юл Ковал,81.0,774.0
Артур Габриеля,81.0,775.0
Роман Опім,81.0,776.0
Олександр Даніл,81.0,777.0
Секретар,81.0,778.0
Юр Шпараг,80.0,779.0
Мирон Маркевич,80.0,780.0
Никола Поворозник,80.0,781.0
Петр Толст,80.0,782.0
Ірин Садовяк,80.0,783.0
Костянтин Богат,80.0,784.0
Анастасі Заворотнюк,80.0,785.0
Олен Бондаренк,80.0,786.0
Євген Кошов,79.0,787.0
Аркад Ротенберг,79.0,788.0
Брітн Спірс,79.0,789.0
Роман Маселк,79.0,790.0
Клименк,79.0,791.0
Світлан Рибалк,79.0,792.0
Марин,79.0,793.0
Корнієнк,79.0,794.0
Філіп,79.0,795.0
Вад Аріст,79.0,796.0
Михайл Поплавськ,79.0,797.0
Моз Степан,79.0,798.0
Дар Каленюк,79.0,799.0
Мохаммад Джавад,79.0,800.0
Ігор Добруцьк,78.0,801.0
Білл Айліш,78.0,802.0
Вячесл Богуслаєв,78.0,803.0
Антон Гутерреш,78.0,804.0
Тегеран,78.0,805.0
Алл Пугач,78.0,806.0
Макс Барськ,78.0,807.0
Андр Мягк,78.0,808.0
Матильд Богнер,78.0,809.0
Джилл Байден,78.0,810.0
Влад Молчанов,78.0,811.0
Оксан Мачак,77.0,812.0
Серг Бессараб,77.0,813.0
Педр Санчес,77.0,814.0
Анатол Пшеничн,77.0,815.0
Геленджик,77.0,816.0
Руслан Савчук,77.0,817.0
Вітал Пономаренк,77.0,818.0
Микол Патрушев,77.0,819.0
Віктор Гавриленк,76.0,820.0
Ігор Черняк,76.0,821.0
Лід Ткаченк,76.0,822.0
Ганс Клюг,76.0,823.0
Серг Аксен,76.0,824.0
Віктор Попревич,76.0,825.0
Леонід Кучм,76.0,826.0
Ольг Поляк,76.0,827.0
Серг Борз,76.0,828.0
Серг Гриневецьк,93.0,829.0
Ива Яковин,75.0,830.0
Альберт Бурл,75.0,831.0
Вільям,75.0,832.0
Ольг Бузов,75.0,833.0
Юл Клименк,75.0,834.0
