,num,del_flag,id,full_name
Мохаммад Джавад,55,True,641,
Ксен,55,True,642,
Мар Бойк,55,True,643,
Михайл Бондар,55,True,644,
Макс Пархоменк,55,False,645,Максим Пархоменко
Вад Зайцев,54,True,646,
Сон Кошкін,54,False,647,Соня Кошкіна
Джордж Буш,54,True,648,
Хабіб Нурмагомед,54,False,649,
Секретар,54,False,650,
Ольг Кобевк,54,False,651,Ольга Кобевко
Світлан Лобод,54,True,652,
Гарр Каспар,54,False,653,
Петер Стан,54,False,654,
Серг Дубр,54,False,655,Сергій Дубров
Рінат Ахмет,54,True,656,
Мішел Андрад,54,True,657,
Руд Джуліан,54,True,658,
Рікард Рікард Йозвяк,54,False,659,
Юр Назар,54,False,660,
Оксан Чайчук,54,True,661,
Васил Небенз,54,False,662,
Вячесла Коновал,54,False,663,
Ткаченк,54,False,664,
Сніжан Бабкін,54,False,665,
Віктор Таран,54,False,666,
Рамзан Кадир,53,True,667,
Игор Добруцк,53,False,668,
Андр Богдан,53,False,669,Андрій Богдан
Олаф Шольц,53,False,670,
Мінекономік,53,True,671,
Володимир Панич,53,False,672,Володимир Паничев
Аркад Ротенберг,53,True,673,
Борис Тодур,53,False,674,
Натал Піп,53,True,675,
Натал Крученик,53,False,676,
Володимир Кудрицьк,53,True,677,
Анастас Волочк,53,True,678,
Джавад Заріф,53,True,679,
Серг Розенбаум,52,False,680,Сергій Розенбаум
Гантер Байден,52,True,681,
Анатол Буліч,52,True,682,
Тарас Цимбалюк,52,False,683,
Моз Степан,52,False,684,
Ольг Номерчук,52,True,685,
Татар,52,True,686,
Андр Рубел,52,True,687,
Олександр Зінченк,52,True,688,
Серг Куюн,52,False,689,Сергій Куюн
Терех,52,False,690,
Мкіп,52,True,691,
Нацбанк,51,True,692,
Михайл Шаравар,51,False,693,
Джон Кірб,51,False,694,
Натал Тімк,51,True,695,
Соф Ротар,51,True,696,
Руслан Щербан,51,False,697,
Вітал Глагол,51,False,698,
Камал Харріс,51,True,699,
Олекс Павленк,51,False,700,
Валентин Гінзбург,51,True,701,
Тетян Бойк,51,False,702,Тетяна Бойко
Роман Єрмолич,51,True,703,
Микол Томенк,51,False,704,
Іван Ждан,51,False,705,Іван Жданов
Стівен Мнучін,51,True,706,
Сант Дімопулос,51,True,707,
Джефф Безос,51,True,708,
Сон Плакидюк,51,True,709,
Геннад Москал,51,False,710,
Марічк Падалк,51,False,711,
Арсен Жумаділ,51,True,712,Арсен Жумаділов
Арсен Мірзоян,51,True,713,
Тайсон,51,True,714,
Кирил Криволап,51,False,715,Кирило Криволап
Петр Толст,51,False,716,
